Rank,City,Population
1,Los Angeles,"3,849,297"
2,San Diego,"1,381,611"
3,San Jose,"983,489"
4,San Francisco,"815,201"
5,Fresno,"544,510"
6,Sacramento,"525,041"
7,Long Beach,"456,062"
8,Oakland,"433,823"
9,Bakersfield,"407,615"
10,Anaheim,"345,940"
11,Stockton,"322,120"
12,Riverside,"317,261"
13,Santa Ana,"309,441"
14,Irvine,"309,031"
15,Chula Vista,"277,220"
16,Fremont,"227,514"
17,Santa Clarita,"224,593"
18,San Bernardino,"222,203"
19,Modesto,"218,771"
20,Moreno Valley,"211,600"
21,Fontana,"210,761"
22,Oxnard,"201,879"
23,Huntington Beach,"196,652"
24,Glendale,"192,366"
25,Elk Grove,"178,997"
26,Ontario,"177,963"
27,Santa Rosa,"176,938"
28,Rancho Cucamonga,"175,142"
29,Oceanside,"172,982"
30,Garden Grove,"170,488"
31,Lancaster,"170,150"
32,Palmdale,"165,761"
33,Salinas,"162,791"
34,Hayward,"159,827"
35,Corona,"159,743"
36,Sunnyvale,"152,258"
37,Roseville,"151,901"
38,Escondido,"150,665"
39,Pomona,"148,338"
40,Torrance,"143,600"
41,Visalia,"142,978"
42,Fullerton,"141,874"
43,Orange,"137,264"
44,Victorville,"135,950"
45,Pasadena,"135,732"
46,Santa Clara,"127,151"
47,Simi Valley,"125,975"
48,Thousand Oaks,"125,754"
49,Vallejo,"124,886"
50,Concord,"124,074"
51,Clovis,"122,989"
52,East Los Angeles,"120,504"
53,Fairfield,"119,705"
54,Berkeley,"117,145"
55,Richmond,"115,639"
56,Carlsbad,"115,302"
57,Antioch,"114,794"
58,Murrieta,"112,991"
59,Downey,"111,645"
60,Temecula,"110,846"
61,Costa Mesa,"110,750"
62,San Buenaventura (Ventura),"109,925"
63,Santa Maria,"109,711"
64,West Covina,"107,017"
65,Jurupa Valley,"106,941"
66,El Monte,"106,907"
67,Menifee,"106,401"
68,El Cajon,"105,432"
69,Burbank city,"105,401"
70,Inglewood,"105,181"
71,Rialto,"104,394"
72,Vacaville,"103,078"
73,Chico,"102,338"
74,San Mateo,"102,200"
75,Daly City,"101,243"
76,Hesperia,"100,971"
77,Norwalk,"100,373"
78,Vista,"98,655"
79,Tracy,"95,387"
80,San Marcos,"94,926"
81,Arden-Arcade,"93,719"
82,Compton,"93,597"
83,Carson,"93,535"
84,Redding,"93,462"
85,Chino,"92,975"
86,Mission Viejo,"92,449"
87,South Gate,"91,154"
88,Santa Monica,"91,105"
89,Hemet,"90,436"
90,Indio,"90,416"
91,Westminster,"90,195"
92,Merced,"89,308"
93,San Leandro,"88,868"
94,Santa Barbara,"88,255"
95,Citrus Heights,"87,402"
96,San Ramon,"86,947"
97,Livermore,"86,803"
98,Hawthorne,"86,091"
99,Manteca,"85,792"
100,Lake Forest,"85,742"
101,Whitr,"85,311"
102,Newport Beach,"84,792"
103,Buena Park,"83,011"
104,Redwood City,"81,643"
105,Mountain View city,"81,516"
106,Folsom,"81,224"
107,Alhambra,"81,211"
108,Lakewood,"80,611"
109,Rancho Cordova,"80,413"
110,Perris,"79,835"
111,Tustin,"79,430"
112,Upland,"79,274"
113,Milpitas,"79,066"
114,Napa,"78,818"
115,Chino Hills,"78,665"
116,Pleasanton,"78,252"
117,Bellflower,"77,408"
118,Pittsburg,"76,544"
119,Alameda,"76,362"
120,Apple Valley,"76,224"
121,Carmichael,"75,642"
122,Redlands,"73,288"
123,Rocklin,"72,975"
124,Turlock,"72,682"
125,Dublin,"71,674"
126,Lake Elsinore,"71,563"
127,Eastvale,"71,375"
128,Camarillo,"70,858"
129,Tulare,"70,733"
130,Baldwin Park,"70,629"
131,Redondo Beach,"69,781"
132,Walnut Creek,"69,695"
133,Yuba City,"69,536"
134,Union City,"68,681"
135,Yorba Linda,"67,989"
136,Madera,"67,944"
137,Lodi,"67,021"
138,Davis,"66,799"
139,Palo Alto,"66,680"
140,Lynwood,"65,505"
141,Brentwood,"64,870"
142,Florence-Graham,"64,787"
143,Castro Valley,"64,392"
144,South San Francisco,"64,251"
145,Laguna Niguel,"64,239"
146,San Clemente,"63,896"
147,Porterville,"62,742"
148,La Habra,"62,609"
149,Santa Cruz,"61,950"
150,Encinitas,"61,762"
151,Woodland,"61,398"
152,Montebello,"61,204"
153,San Rafael,"60,769"
154,Pico Rivera,"60,764"
155,La Mesa,"60,721"
156,Santee,"59,703"
157,Gardena,"59,702"
158,Monterey Park,"59,667"
159,Petaluma,"59,403"
160,Cupertino,"58,622"
161,South Whitr,"58,616"
162,Hanford,"58,496"
163,Gilroy,"58,101"
164,Highland,"57,159"
165,Fountain Valley,"56,495"
166,National City,"55,912"
167,Hacienda Heights,"55,386"
168,Arcadia,"55,345"
169,San Jacinto,"55,290"
170,Beaumont,"55,280"
171,Yucaipa,"54,739"
172,Colton,"54,285"
173,Diamond Bar,"53,857"
174,Huntington Park,"53,644"
175,West Sacramento,"53,637"
176,Novato,"52,708"
177,Paramount,"52,506"
178,Cathedral City,"52,220"
179,Delano,"52,173"
180,Watsonville,"52,067"
181,Aliso Viejo,"51,824"
182,Glendora,"51,569"
183,Palm Desert,"51,541"
184,Placentia,"51,274"
185,Lincoln,"50,649"
186,Covina,"50,411"
187,Rosemead,"50,245"
188,Cypress,"49,926"
189,Rowland Heights,"49,914"
190,Ceres,"49,282"
191,Florin,"48,839"
192,Azusa,"48,676"
193,North Highlands,"48,660"
194,Antelope,"48,468"
195,Poway,"48,421"
196,Cerritos,"48,394"
197,Brea,"47,589"
198,San Luis Obispo,"47,545"
199,Rancho Santa Margarita,"47,442"
200,Newark,"47,434"
201,El Dorado Hills,"47,107"
202,La Mirada,"46,658"
203,Los Banos,"46,398"
204,Morgan Hill,"45,342"
205,Palm Springs,"45,019"
206,Rohnert Park,"44,411"
207,El Centro,"44,158"
208,Lompoc,"43,834"
209,Oakley,"43,771"
210,Hollister,"43,346"
211,Danville,"43,240"
212,Altadena,"43,037"
213,Campbell,"42,754"
214,Coachella,"42,554"
215,San Bruno,"42,275"
216,Rancho Palos Verdes,"41,295"
217,Culver City,"39,970"
218,Vineyard,"39,800"
219,French Valley,"39,057"
220,San Gabriel,"38,670"
221,Bell Gardens,"38,552"
222,Calexico,"38,534"
223,La Quinta,"38,181"
224,Adelanto,"38,118"
225,Montclair,"38,061"
226,Stanton,"37,970"
227,Monrovia,"37,500"
228,La Presa,"37,410"
229,La Puente,"37,303"
230,Wildomar,"37,189"
231,Pacifica,"37,099"
232,Martinez,"36,819"
233,Moorpark,"35,975"
234,Temple City,"35,763"
235,Foothill Farms,"35,711"
236,Claremont,"35,703"
237,Oildale,"35,520"
238,Westmont,"35,188"
239,Orangevale,"35,030"
240,San Juan Capistrano,"34,955"
241,West Hollywood,"34,938"
242,Manhattan Beach,"34,668"
243,Pleasant Hill,"34,304"
244,San Dimas,"34,064"
245,Goleta,"32,855"
246,Bell,"32,831"
247,Dana Point,"32,821"
248,Desert Hot Springs,"32,716"
249,Los Gatos,"32,538"
250,Foster City,"32,517"
251,Menlo Park,"32,475"
252,Fallbrook,"32,359"
253,Seaside,"32,085"
254,Atwater,"31,978"
255,Beverly Hills,"31,896"
256,Spring Valley CDP,"31,866"
257,San Pablo,"31,773"
258,El Paso de Robles (Paso Robles),"31,759"
259,Orcutt,"31,353"
260,Lawndale,"31,121"
261,Laguna Hills,"30,965"
262,Fair Oaks,"30,882"
263,Santa Paula,"30,759"
264,Los Altos,"30,700"
265,La Verne,"30,680"
266,Lathrop,"30,659"
267,Banning,"30,273"
268,Saratoga,"30,163"
269,San Lorenzo,"30,117"
270,Burlingame,"30,106"
271,San Carlos,"30,034"
272,East Niles,"29,885"
273,Monterey,"29,874"
274,Eastern Goleta Valley,"29,823"
275,Atascadero,"29,708"
276,Suisun City,"29,165"
277,East Palo Alto,"28,847"
278,Temescal Valley,"28,420"
279,Wasco,"28,173"
280,Ridgecrest,"28,105"
281,Walnut,"27,830"
282,Twentynine Palms,"27,435"
283,Lemon Grove,"27,413"
284,Lemoore,"27,259"
285,Belmont,"27,225"
286,Benicia,"26,819"
287,Sanger,"26,716"
288,Brawley,"26,539"
289,Eureka,"26,489"
290,South Pasadena,"26,314"
291,West Whitr-Los Nietos,"26,121"
292,Hercules,"26,091"
293,Norco,"26,077"
294,Imperial Beach,"26,059"
295,Windsor,"26,039"
296,El Cerrito city,"25,845"
297,Galt,"25,495"
298,Barstow,"25,442"
299,Bay Point,"25,378"
300,Reedley,"25,232"
301,Lafayette,"25,208"
302,North Tustin,"25,147"
303,Dinuba,"25,139"
304,Loma Linda,"25,072"
305,Ladera Ranch,"24,996"
306,Seal Beach,"24,937"
307,Riverbank,"24,844"
308,Soledad,"24,778"
309,Selma,"24,625"
310,Maywood,"24,562"
311,Willowbrook,"24,401"
312,Patterson,"23,808"
313,Rosemont,"23,755"
314,San Fernando,"23,726"
315,Ashland,"23,566"
316,West Puente Valley,"23,555"
317,Oakdale,"23,235"
318,East San Gabriel,"23,076"
319,Calabasas,"22,928"
320,Granite Bay,"22,818"
321,Laguna Beach,"22,795"
322,Winter Gardens,"22,785"
323,West Carson,"22,697"
324,Valinda,"22,665"
325,Corcoran,"22,535"
326,Marina,"22,507"
327,Lennox,"22,476"
328,Cudahy,"22,294"
329,Millbrae,"22,277"
330,West Rancho Dominguez,"21,977"
331,Bloomington,"21,907"
332,Linda,"21,842"
333,Yucca Valley,"21,821"
334,Port Hueneme,"21,712"
335,American Canyon,"21,605"
336,Ramona,"21,493"
337,Rancho San Diego,"21,476"
338,South Lake Tahoe,"21,414"
339,Mountain House,"21,387"
340,Duarte,"21,245"
341,Lakeside CDP,"21,032"
342,Imperial,"21,017"
343,Mead Valley,"20,817"
344,Shafter,"20,678"
345,Prunedale,"20,560"
346,Lomita,"20,428"
347,Rosamond,"20,255"
348,La Crescenta-Montrose,"20,171"
349,East Hemet,"20,161"
350,La Cañada Flintridge,"20,114"
