name,rate,review_cnt,city,state,business_id,latitude,longitude,categories
GRANVILLE,4.5,2238,West Hollywood,CA,cal0Wpupxj9c_AV7WzDXsw,34.0771299,-118.38068," American (New), Cocktail Bars"
Running Goose,4.5,1477,Los Angeles,CA,RVbZaawgEGmto6TxOoVBdQ,34.10052,-118.32927," Gastropubs, Latin American"
King Chang - LA,5.0,217,Los Angeles,CA,iRjnWYY5oVJTaZ5teU1vOQ,34.06329,-118.30372," Korean, Barbeque"
L'Antica Pizzeria Da Michele,4.5,1542,Los Angeles,CA,88kri8FhXy8b3DQ_QjSMmQ,34.09904755,-118.33732706," Pizza, Italian, Breakfast & Brunch"
Met Him At A Bar,4.5,474,Los Angeles,CA,HuQtriV_ApipXfM8xax33w,34.060415,-118.345018," Italian, Cocktail Bars"
Hangari Kalguksu,4.5,2218,Los Angeles,CA,h1R2iKYdm2lwukzMJvJqDw,34.0628602582049,-118.297570301258," Korean, Noodles"
Republique,4.0,6483,Los Angeles,CA,z0zaCVA-p_5xTsyUZrmR0g,34.06412,-118.34386," French, Breakfast & Brunch, Cocktail Bars"
Great White,4.0,214,Los Angeles,CA,1RJCu-0D5ZEnVRBKwqodGQ,34.07587723057971,-118.3233931," American (New), Breakfast & Brunch, Cocktail Bars"
HanEuem,4.5,151,Los Angeles,CA,WO12S4gvOYkYF8_70RWrQA,34.06427634725579,-118.30950933119468," Korean, Gastropubs"
The Front Yard,4.0,2962,North Hollywood,CA,25fipMHUHLZTq0sVQINi5g,34.1452280992166,-118.369494542328," American (New), Breakfast & Brunch, Beer, Wine & Spirits"
The Highlight Room Grill,4.0,383,Los Angeles,CA,XT5o_SKmmpIGvwDKYZw5tg,34.10016,-118.33014," Breakfast & Brunch, American (New), Acai Bowls"
TOKKI - Korean Tapas,4.5,318,Los Angeles,CA,wvaNbC16NuJIQD0g8WPjRw,34.06371,-118.29727," Korean, Lounges, Tapas Bars"
Ka'teen,4.0,324,Los Angeles,CA,dnYh7aAv1O5RwseWGdLOKQ,34.09948,-118.33167," Mexican, Cocktail Bars"
Mother Tongue,4.0,121,Los Angeles,CA,wwTc59Ul8abQO0dLon5jkA,34.08862800295322,-118.34298328366724," American (New), Seafood, Vegetarian"
Sun Nong Dan,4.0,2139,Los Angeles,CA,0SerWqGwzNWpTA2RBLVdUg,34.0630233116146,-118.29753992865226," Korean, Soup"
Seoul Salon Restaurant & Bar,4.5,142,Los Angeles,CA,RpljDiS3TghWGL4ZezUxGw,34.0605163,-118.3036379," Asian Fusion, Cocktail Bars, Pubs"
Gunsmoke,4.5,27,Los Angeles,CA,1QLYTXPsRP4d7-VUtgmVew,34.099561,-118.323425," American (New), Smokehouse"
Chadolpoong,4.5,504,Los Angeles,CA,vs8USEc1A480H8MnmFKs5A,34.06309,-118.29754," Korean, Soup, Comfort Food"
The Edmon,4.5,259,Los Angeles,CA,irWMpwJ1JFx5ih4TTQVo6Q,34.0833665744252,-118.313257384501," Cocktail Bars, American (New)"
Beauty & Essex,4.0,1414,Los Angeles,CA,BSUDJiaKZwbB8G-GTUst_g,34.1001997,-118.3297411," Lounges, American (New)"
Honey Night,5.0,411,Los Angeles,CA,eHwdLWQrg4nr_3fuiH_jhQ,34.0575395,-118.3072592," Korean, Bars"
Seoul Night by Chef Kang,4.5,51,Los Angeles,CA,LxCr7b3sOLnfDvpfZS7daQ,34.06229347453978,-118.29751593239025," Gastropubs, Korean"
Pixiu Mala Hongtang,4.5,25,Los Angeles,CA,0IeIzElSBK1XJVqtzFvRlA,34.06635753748882,-118.3096243," Chinese, Hot Pot, Korean"
Toca Madera - Los Angeles,4.0,2727,Los Angeles,CA,LNb-ElJwKIXS6Lx5xdRB1Q,34.073059,-118.3749338," Cocktail Bars, Mexican, Steakhouses"
Hui Tou Xiang,4.5,130,Los Angeles,CA,eMCp5br4J_4at3jIX2ljrg,34.101,-118.32968," Chinese, Noodles"
Osteria Mamma,4.0,1828,Los Angeles,CA,rr-hXB0ZqXLzUP97yftp0g,34.0833586783984,-118.324724939274," Italian, Wine Bars"
Met Her At A Bar,4.5,2190,Los Angeles,CA,h2u-coGd8WWClyU3b7jf8w,34.0609448,-118.3446759," Cafes, Breakfast & Brunch, American (New)"
Yuko Kitchen,4.5,1806,Los Angeles,CA,23Qrcz2i9e2e8MstUIIO0A,34.0621807,-118.348153, Japanese
Kang Ho-dong Baekjeong,4.5,4796,Los Angeles,CA,qAAoilHU25Qr45FOQlA19g,34.06375298900917,-118.29728290552232," Barbeque, Korean"
Slurpin' Ramen Bar - Los Angeles,4.5,5251,Los Angeles,CA,MlmcOkwaNnxl3Zuk6HsPCQ,34.0573614429986,-118.306769744705," Ramen, Noodles"
Girl & The Goat,4.5,994,Los Angeles,CA,pLP4joJ99UpIQpNh6kxZFw,34.040225780604246,-118.23316930233312, American (New)
